0,1,2,3,4,5,6,7,8,9,10,11
"Riviere Schneider SARL","4, impasse de Rousseau","Étage 130",59385,Chauvin,France,pascal.fr,test@mail.com,"+33 (0)1 84 03 95 30",,"+33 (0)1 82 26 93 05","415 426 725"
"Martineau SARL","2, avenue Eugène Pascal",,32313,Vallee-les-Bains,France,schneider.com,test@mail.com,0128525787,,"07 44 90 04 65","201 405 883"
Langlois,"2, rue Hélène Boucher",,74226,Marin,France,breton.com,test@mail.com,"+33 (0)1 36 63 67 16",,0325144434,"649 724 192"
Thomas,"44, impasse de Fischer","Suite 681",51009,Petit,France,hamel.org,test@mail.com,0741136220,,,"686 426 073"
"Guillet S.A.R.L.","586, impasse de Hubert","Bât. 077",48723,Rossi,France,gros.fr,test@mail.com,"+33 7 57 14 69 93",0558479037,,"527 069 470"
Goncalves,"61, avenue de Auger",,38600,Gomez-sur-Collin,France,roger.fr,test@mail.com,"06 87 84 64 05","+33 3 45 17 19 71",,"547 665 067"
Collin,"354, impasse de Lenoir",,54162,"Dias-sur-Le Gall",France,baron.fr,test@mail.com,"+33 6 13 91 37 96",,,"416 554 269"
Fournier,"838, chemin Normand",,44712,Denisnec,France,julien.fr,test@mail.com,"03 00 95 62 93","01 78 35 60 94",0825254569,"252 287 453"
"Gomes et Fils","77, place Vallet",,04472,Boulay,France,bigot.com,test@mail.com,"+33 (0)4 91 64 62 15",,"+33 7 38 49 57 77","329 557 862"
Toussaint,"6, boulevard Pénélope Michaud",,66228,Techer-sur-David,France,chartier.fr,test@mail.com,"+33 7 97 12 90 87",,,"886 618 016"
Germain,"5, rue Voisin",,78602,Grondin,France,godard.fr,test@mail.com,"03 48 27 55 26",,"06 31 47 99 86","659 836 183"
"Pottier Bousquet S.A.","13, chemin Boyer",,76828,Bouchet-la-Forêt,France,blanchard.org,test@mail.com,"01 89 18 07 56","+33 (0)4 24 19 62 78","+33 (0)6 50 90 00 55","353 852 049"
"Paris Dos Santos et Fils","77, rue de Martinez",,21160,Gaillard,France,diallo.fr,test@mail.com,"+33 2 37 86 51 55",,"+33 5 41 75 16 76","564 579 829"
"Duhamel S.A.R.L.","58, avenue Laurent Rodriguez","Apt. 075",34663,Galletnec,France,normand.com,test@mail.com,0897183925,,"+33 6 26 33 59 01","817 988 710"
Laroche,"408, impasse de Lambert",,22784,Gay-sur-Marty,France,ledoux.fr,test@mail.com,0459568931,,"+33 (0)7 58 86 71 43","144 981 818"
Leclercq,"10, place Vincent Lejeune","Bât. 253",93235,Charles,France,schneider.fr,test@mail.com,"+33 4 08 96 16 84",,,"272 973 199"
"Ribeiro Laporte SA","impasse Fischer","Bât. 004",08669,Barthelemy,France,ruiz.fr,test@mail.com,"+33 9 06 23 70 30","+33 5 53 67 95 31","+33 (0)6 62 03 40 32","424 713 345"
Muller,"43, impasse Garnier","Bât. 687",38935,Fournier-sur-Boutin,France,martel.com,test@mail.com,"+33 2 54 26 52 56",,,"698 466 422"
Valette,"90, chemin de Ramos",,28517,Lemaire,France,collin.fr,test@mail.com,"+33 9 52 81 80 41","+33 (0)3 75 52 83 52","+33 (0)3 28 62 33 71","469 204 515"
Joseph,"88, chemin Le Roux",,63682,Pires-les-Bains,France,jacques.com,test@mail.com,"04 95 26 49 32",,,"299 951 962"
"David Faivre S.A.R.L.","4, avenue Julien Riou","Apt. 831",27580,Lemonnier,France,dubois.com,test@mail.com,"09 09 74 88 22","+33 (0)6 93 52 32 26","+33 8 04 95 20 12","995 185 451"
Bonneau,"69, rue Vincent",,94212,Lefebvre-sur-Huet,France,coulon.net,test@mail.com,"02 61 53 52 55",,,"329 354 609"
"Delorme Camus S.A.","2, avenue de Jean","Apt. 098",91439,Barre,France,leroy.fr,test@mail.com,"+33 6 43 57 50 13","+33 (0)9 27 81 36 41",,"987 239 100"
"Garcia SA","chemin Mendes","Bât. 886",26273,Bouvet,France,hamon.fr,test@mail.com,"07 92 03 23 04","01 77 69 70 73","07 88 70 72 05","728 818 436"
Dumas,"rue de Weber","Suite 633",93986,Philippe,France,garcia.net,test@mail.com,"+33 (0)6 63 38 18 27",,"+33 3 55 58 16 96","274 504 927"
"Chevallier S.A.R.L.","59, chemin Laine",,23701,Buisson-sur-Leblanc,France,garnier.fr,test@mail.com,"01 23 12 87 76",,"+33 (0)5 45 63 72 14","911 933 976"
Lebrun,"8, boulevard Ledoux",,39022,"De Sousa-sur-Barbe",France,seguin.com,test@mail.com,"+33 2 38 97 61 90","07 94 65 72 70","+33 8 19 40 06 81","154 961 775"
Laine,"91, place Merle","Apt. 139",13322,Paul,France,leroy.fr,test@mail.com,"01 92 25 83 47",,,"421 953 191"
"Leclerc et Fils","203, boulevard Charlotte Humbert","Bât. 453",83365,Berthelot-les-Bains,France,tessier.com,test@mail.com,"+33 4 61 08 48 08",,"+33 (0)2 42 69 15 03","306 127 242"
Lambert,"87, boulevard David Bernard",,27964,Blanc,France,pereira.fr,test@mail.com,"+33 1 29 58 18 40","+33 6 35 34 96 56",0136897696,"947 048 328"
